#Cycle 7     Cycle 7
#Energy      Effective Area
#(keV)       (cm^2)
#---------------------------
0.10532     0.01098
0.11596     0.01908
0.12661     0.03744
0.13725     0.13918
0.14790     0.31490
0.15854     0.45568
0.16918     0.83163
0.17983     1.40194
0.19047     1.77556
0.20112     2.26239
0.21176     2.85875
0.22241     4.09997
0.23305     5.07594
0.24370     6.13102
0.25434     7.39534
0.26499     8.62543
0.27563     10.0435
0.28627     1.04239
0.29692     0.00275
0.30756     0.00878
0.31821     0.07208
0.32885     0.12292
0.33950     0.22149
0.35014     0.32032
0.36079     0.39136
0.37143     0.47245
0.38208     0.62138
0.39272     0.80293
0.40336     0.87151
0.41401     0.81416
0.42465     1.35749
0.43530     1.78978
0.44594     2.13026
0.45659     2.59269
0.46723     3.07946
0.47788     3.59430
0.48852     4.16816
0.49916     4.83386
0.50981     5.54109
0.52045     6.34197
0.53110     3.15097
0.54174     2.50262
0.55239     4.07793
0.56303     4.93330
0.57368     5.82262
0.58432     5.90542
0.59497     7.09001
0.60561     7.92074
0.61625     8.75298
0.62690     9.65245
0.63754     10.5848
0.64819     11.5209
0.65883     12.5978
0.66948     13.6475
0.68012     14.6741
0.69077     14.0925
0.70141     15.2357
0.71206     16.4013
0.72270     17.6484
0.73334     18.8501
0.74399     20.1208
0.75463     21.2933
0.76528     22.4352
0.77592     23.6499
0.78657     24.9836
0.79721     26.2240
0.80786     27.4810
0.81850     28.7384
0.82915     29.8681
0.83979     31.0425
0.85043     32.2464
0.86108     33.3216
0.87172     34.5194
0.88237     35.7138
0.89301     36.7017
0.90366     37.6726
0.91430     38.6318
0.92495     39.5158
0.93559     40.3848
0.94624     41.2069
0.95688     41.9960
0.96752     42.7314
0.97817     43.3884
0.98881     43.9561
0.99946     44.5146
1.01010     45.0343
1.02075     45.5065
1.03139     45.9426
1.04204     46.3387
1.05268     46.7155
1.06333     47.0927
1.07397     47.4229
1.08461     47.6320
1.09526     47.7907
1.10590     47.9665
1.11655     47.9545
1.12719     47.9275
1.13784     47.9412
1.14848     47.8597
1.15913     47.7959
1.16977     47.8193
1.18041     47.7285
1.19106     47.6107
1.20170     47.4163
1.21235     47.1125
1.22299     46.8427
1.23364     46.7918
1.24428     46.7884
1.25493     46.5727
1.26557     46.3089
1.27622     46.1254
1.28686     46.0346
1.29750     45.9527
1.30815     45.7857
1.31879     45.6481
1.32944     45.6550
1.34008     45.6766
1.35073     45.3731
1.36137     45.3169
1.37202     45.4338
1.38266     45.3263
1.39331     45.2943
1.40395     45.2450
1.41459     45.2183
1.42524     45.2821
1.43588     45.3796
1.44653     45.3753
1.45717     45.4816
1.46782     45.6906
1.47846     45.9520
1.48911     46.1914
1.49975     46.4224
1.51040     46.8422
1.52104     47.3624
1.53168     48.1018
1.54233     48.8770
1.55297     49.0929
1.56362     42.6542
1.57426     44.1696
1.58491     46.1262
1.59555     45.9711
1.60620     47.0839
1.61684     48.7641
1.62749     49.2458
1.63813     49.9756
1.64877     51.2382
1.65942     52.9684
1.67006     54.1930
1.68071     55.3499
1.69135     56.3946
1.70200     57.8471
1.71264     59.4716
1.72329     61.1185
1.73393     62.7132
1.74458     64.3060
1.75522     65.9378
1.76586     67.7378
1.77651     69.7010
1.78715     71.5988
1.79780     73.0763
1.80844     74.7319
1.81909     77.0588
1.82973     79.1662
1.84038     84.5406
1.85102     86.3698
1.86167     89.0700
1.87231     92.0652
1.88295     95.0168
1.89360     97.4376
1.90424     99.7135
1.91489     102.210
1.92553     104.835
1.93618     107.515
1.94682     110.206
1.95747     112.826
1.96811     115.496
1.97875     118.416
1.98940     120.639
2.00004     122.001
2.01069     122.569
2.02133     124.047
2.03198     125.299
2.04262     123.981
2.05327     115.346
2.06391     100.594
2.07456     80.4919
2.08520     74.2342
2.09584     79.6779
2.10649     82.8242
2.11713     84.5980
2.12778     81.8242
2.13842     82.5937
2.14907     79.6825
2.15971     80.1086
2.17036     88.0865
2.18100     93.6221
2.19165     100.278
2.20229     108.913
2.21293     119.116
2.22358     125.379
2.23422     125.990
2.24487     112.802
2.25551     100.651
2.26616     98.7569
2.27680     99.5758
2.28745     97.2731
2.29809     100.095
2.30874     100.774
2.31938     100.421
2.33002     93.5725
2.34067     88.0407
2.35131     86.4159
2.36196     85.5274
2.37260     82.4477
2.38325     81.7490
2.39389     80.4446
2.40454     79.3209
2.41518     79.0509
2.42583     78.7124
2.43647     79.1696
2.44711     79.4458
2.45776     79.0418
2.46840     78.3514
2.47905     77.6569
2.48969     76.8800
2.50034     76.5635
2.51098     76.6308
2.52163     76.3783
2.53227     75.0377
2.54291     69.9709
2.55356     66.6434
2.56420     71.2133
2.57485     72.6446
2.58549     73.8265
2.59614     75.2243
2.60678     75.8640
2.61743     76.8211
2.62807     77.9056
2.63872     80.1036
2.64936     79.7778
2.66000     80.0036
2.67065     80.5890
2.68129     81.3365
2.69194     82.3749
2.70258     83.2137
2.71323     84.1153
2.72387     85.5809
2.73452     87.6104
2.74516     87.8280
